row_id,display_comment,final_label,pred_indobert
23,di akhir zaman nanti uang kertas tak akan berguna lagi sbg alat tukar sebab mata uang akan dijadikan digital oleh sistem,Negatif,Netral
25,"Bener min lebih praktis rupiah digital, tapi risikonya juga watir 😅",Positif,Netral
39,"Mirip seperti XRP Ripple , bedanya kalo XRP itu kandidat pengganti Dollar US di masa depan, beberapa negara udah kerja sama dengan Ripple ,karena teknologi Ripple dengan blockhain dan ledger nya sudah di gunakan dengan fungsinya sebagai pembayaran, transaksi,transfer uang antar n...",Netral,Positif
41,"Terima kasih sudah sharing pemikiran disini 👍 Tapi yang perlu jadi catatan juga, rupiah digital ini sebagai pelengkap ya, untuk instrumen lainnya akan tetep ada. Ngomu pun state kekhawatiran demikian di video, tapi semoga ada solusi atas hal tersebut",Positif,Netral
43,"Menurut gue dana pemerintah aja si yang wajib pake CBDC, semua program pemerintah wajib pake alat itu, kalo tujuan utamanya adalah transparansi dan juga mengontrol penuh aliran dana nya bisa tepat atau enggak, juga bisa jadi mempermudah lacak koruptor",Negatif,Netral
55,"Rencana mrk berhasil, pdhl urgensinya apa jg kan, masih banyak pr, kecuali ini emg buat pejabat jd bisa pantau kelayaan mrk",Netral,Positif
62,apa cuma saya yang sangat yakin kalau CBDC sangat tidak cocok diterapkan di indonesia karena resiko penyalahgunaanya sangatlah besar?,Negatif,Netral
71,Sistem kredit sosial sudah diterapkan dichina Dan sebentar lagi juga akan diterapkan diindonesia. Klo nurut pemerintah maka aman dan klo kita ngeritik pemerintahan maka point kita akan minus dan akan kena sangsi,Negatif,Positif
79,"Dari segi keamanan perlu jadi pertimbangan juga, dikarenakan semakin maju teknologi, maka semakin canggih modus kejahatan/penipuan yg dapat menguras dompet digital kita.. Apakah ada jaminan dari pemerintah apabila saldo/uang digital kita hilang???",Netral,Negatif
82,"Zaman sdh transparan tdk bisa lg spt dulu. Siap atau tdk hrs siap. Blogchain sulit akan di haker . Server berhubungan dgn negara lain d jumlahnya bisa juataan . Satu server di bobol server lain sbg pengamanan dst nya, Berapa jumlah server seluruh dunia yg berfungsi tergantung kep...",Netral,Negatif
94,Saya masih tetap invest di Lunch bg Karna dia dulu yg bikin dompet gue sekarat Waktu Luna masih top koin sebelum berubah nama akibat perbuatan Do Kwon,Positif,Netral
