VideoID,CommentDate,UserName,Comment,Like
mODGGIy9JZE,2025-11-01 05:07:00,@Randiazuro.89,😂😂😂😂😂😂 se7 biar mudah di pajak,0
PMuEX5Qbmzo,2024-10-27 19:43:15,@Wanmulyana76,Internet mati uang digital hancur,0
ebkamQER1nM,2024-08-08 01:05:30,@bigquake,"sok bicara hack tapi gak tau Bank Indonesia milik siapa, jangan kaget ya.",0
ebkamQER1nM,2025-11-16 01:47:22,@salamsetia8838,​@sutediheriyonoBaladMaUngsampah koment,0
ebkamQER1nM,2024-08-09 04:29:56,@salamsetia8838,"Dirampok lagi
1. Biaya admin top op
2. Biaya pajak setiap transaksi
3. Biaya admin setiap bulannya😅",52
SxMdI5sabb0,2026-05-12 03:03:40,@ttktttttk,"WAH GUE JADI TERINSPIRASI BUAT BIKIN SEMUA MIMPI INI TERWUJUD... TAPI TANPA TIPUAN COIN, PERANG DAN KEKERASAN SYARAT'NYA GAMPANG YAITU HAPUS SISTEM UANG FISIK YANG SANGAT TOLOL DAN PRIMITIF MENJADI UANG VIRTUAL GRATIS DAN UNLIMITED PERMANEN BUAT SEMUA MAHLUK LO KEBERATAN GUE BIKIN SENDIRI JUGA BISA SEMUA ORANG LAIN JUGA BISA.",0
KqjkU_AQCJE,2026-01-28 00:49:56,@gerardandreas,"Alat Bayar Harus ttp Cash , Cashless Itu Pilihan Itu Baru Waras",0
gU62EuPDWaY,2026-05-12 07:46:43,@Alkhatani09,"Nggak perduli sm Cbdc,,,, hidup di kampung,,, nanam, ternak dan nambang emas lebih enak😂😂😂",2
SxMdI5sabb0,2024-05-22 12:04:38,@albertkumakauw2164,Rawan ini uang digital senjata utama dajal sudah akan terwujud,1
wMPGW76Iy9A,2022-12-07 09:18:55,@jacksableng4775,"@padliharsandi4139 wah mantap. Ada juga masyarakat Indonesia yang berpikiran maju. 
Saya berpikir kalau e-wallet akan menampung blockchain adresss dan blockchain adress itu nantinya bisa di embed atau ditanam di browser dan di aplikasi SOSMED. Jadi blockchain adress itu sendiri itu pada dasarnya adalah URL dan bisa dipakai tanpa e wallet.",0
