row_id,row_id_raw,VideoID,CommentDate,UserName,Comment,clean_comment,label_text,auto_label_raw,auto_label_context,auto_label_calibrated,auto_label,manual_label,final_label,positive_score,negative_score,neutral_score,sentiment_score,confidence,neg_signal,pos_signal,ambiguous_case,cash_response_category,needs_review,priority_score,review_priority_reason,context_rule_reason,calibration_reason,catatan_reviewer,Like,ScrapeDate
R00001,0,YLq9NVWk23U,2022-11-30 04:51:26,@Ediyie_Torus,Gaspol kembangkan sayapmu Garuda go global rupiah👍,Gaspol kembangkan sayapmu Garuda go global rupiah,gaspol kembangkan sayapmu garuda go global rupiah,Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,5,2026-05-16 10:11:40.935413
R00002,1,YLq9NVWk23U,2022-11-30 05:05:54,@marcelandrey9579,"pidatonya menggebu gebu tapi isiannya bingungi..wholesale itu sistemnya gimana, dkk g dijelasin secara jelas","pidatonya menggebu gebu tapi isiannya bingungi..wholesale itu sistemnya gimana, dkk g dijelasin secara jelas","pidatonya menggebu gebu tapi isiannya bingungi..wholesale itu sistemnya gimana, dkk g dijelasin secara jelas",Netral,Netral,Netral,Netral,Netral,Netral,0,0,1,0,0.0,0,0,not_ambiguous,Literasi dan kesiapan masyarakat,True,4,confidence rendah; isu uang tunai,Tidak berubah,Tidak berubah,,0,2026-05-16 10:11:40.935413
R00003,2,YLq9NVWk23U,2022-11-30 05:06:34,@rahmandzaki9118,Nah harus begitu klw tdk ya ketinggalan,Nah harus begitu klw tdk ya ketinggalan,nah harus begitu klw tdk ya ketinggalan,Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,1,2026-05-16 10:11:40.935412
R00004,3,YLq9NVWk23U,2022-11-30 05:15:09,@tuhritoyib1633,"Mantap 👍..
Indonesia maju terus..",Mantap .. Indonesia maju terus..,mantap .. indonesia maju terus..,Positif,Positif,Positif,Positif,,Positif,3,0,0,3,1.0,0,2,not_ambiguous,Tidak teridentifikasi,False,0,sampel tambahan,Tidak berubah,Tidak berubah,,2,2026-05-16 10:11:40.935411
R00005,4,YLq9NVWk23U,2022-11-30 05:49:27,@fansmilitan2701,"Pada saatnya nanti para pengemis dan pengamen di jalan cuma bawa QR code yang ditempel di dasar kalengnya , atau ditempel di jidatnya","Pada saatnya nanti para pengemis dan pengamen di jalan cuma bawa QR code yang ditempel di dasar kalengnya , atau ditempel di jidatnya","pada saatnya nanti para pengemis dan pengamen di jalan cuma bawa qr code yang ditempel di dasar kalengnya , atau ditempel di jidatnya",Positif,Positif,Positif,Positif,,Positif,1,0,0,1,1.0,0,0,not_ambiguous,Tidak teridentifikasi,False,0,sampel tambahan,Tidak berubah,Tidak berubah,,4,2026-05-16 10:11:40.935410
R00006,5,YLq9NVWk23U,2022-11-30 05:59:31,@Piramidbalihealing,"Terlalu tegang baca nya kelihatan seperti orang bodoh ,rupiah terlalu banyak nol nya ,bi tidak punya kemampuan penyederhanaan mata uang rupiah","Terlalu tegang baca nya kelihatan seperti orang bodoh ,rupiah terlalu banyak nol nya ,bi tidak punya kemampuan penyederhanaan mata uang rupiah","terlalu tegang baca nya kelihatan seperti orang bodoh ,rupiah terlalu banyak nol nya ,bi tidak punya kemampuan penyederhanaan mata uang rupiah",Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,6,2026-05-16 10:11:40.935408
R00007,6,YLq9NVWk23U,2022-11-30 06:01:41,@Piramidbalihealing,"Semua negara nolnya mata uang sedikit ,indonesia banyak nol nya padahal nilainya paling kecil di dunia ,artinya bi kurang cerdas","Semua negara nolnya mata uang sedikit ,indonesia banyak nol nya padahal nilainya paling kecil di dunia ,artinya bi kurang cerdas","semua negara nolnya mata uang sedikit ,indonesia banyak nol nya padahal nilainya paling kecil di dunia ,artinya bi kurang cerdas",Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,3,2026-05-16 10:11:40.935407
R00008,7,YLq9NVWk23U,2022-11-30 06:04:49,@haerudin9600,Stelah ini redenominasi rupiah biar daya saing nya berpengaruh di internasional,Stelah ini redenominasi rupiah biar daya saing nya berpengaruh di internasional,stelah ini redenominasi rupiah biar daya saing nya berpengaruh di internasional,Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,5,2026-05-16 10:11:40.935406
R00009,8,YLq9NVWk23U,2022-11-30 06:34:44,@sidhi279,"Amankah dri hacker ??? 🤣🤣🤣 Bjorka dkk 🤣🤣🤣

BUZZER PENJILAT n LATAHERS mah cuma bisa bilang mantab n memuji2... Begitu trouble kabur dah... 🤣🤣🤣

*Basmi BUZZER n LATAHERS !!!",Amankah dri hacker ??? Bjorka dkk BUZZER PENJILAT n LATAHERS mah cuma bisa bilang mantab n memuji2... Begitu trouble kabur dah... Basmi BUZZER n LATAHERS !!!,amankah dri hacker ??? bjorka dkk buzzer penjilat n latahers mah cuma bisa bilang mantab n memuji2... begitu trouble kabur dah... basmi buzzer n latahers !!!,Negatif,Negatif,Negatif,Negatif,,Negatif,0,-2,0,-2,1.0,1,0,not_ambiguous,Keamanan data dan kontrol,True,4,isu uang tunai; pola negatif terdeteksi,Tidak berubah,Tidak berubah,,0,2026-05-16 10:11:40.935403
R00010,9,YLq9NVWk23U,2022-11-30 06:36:43,@g4joker627,jangan lah digital rupiah kalau data sering bocor terus. cyber security di Indonesia sangat menyedihkan makanya perbaiki dulu keamanan digital.,jangan lah digital rupiah kalau data sering bocor terus. cyber security di Indonesia sangat menyedihkan makanya perbaiki dulu keamanan digital.,jangan lah digital rupiah kalau data sering bocor terus. cyber security di indonesia sangat menyedihkan makanya perbaiki dulu keamanan digital.,Negatif,Negatif,Negatif,Negatif,,Negatif,0,-1,0,-1,1.0,0,0,not_ambiguous,Keamanan data dan kontrol,True,4,isu uang tunai; pola negatif terdeteksi,Tidak berubah,Tidak berubah,,5,2026-05-16 10:11:40.935402
R00011,11,YLq9NVWk23U,2022-11-30 06:54:13,@ATK-wr4wl,"Databasenya gimana jelas ga dimana data uangnya disimpan ?? jangan kayak NIK yang gajelas data disimpennya dimana ntar kena hack negara nangis nominal uang digonta-ganti sama hacker, hacker bisa beli barang apa aja ga pake bayar cuman ganti angka aja wkwkwk","Databasenya gimana jelas ga dimana data uangnya disimpan ?? jangan kayak NIK yang gajelas data disimpennya dimana ntar kena hack negara nangis nominal uang digonta ganti sama hacker, hacker bisa beli barang apa aja ga pake bayar cuman ganti angka aja wkwkwk","databasenya gimana jelas ga dimana data uangnya disimpan ?? jangan kayak nik yang gajelas data disimpennya dimana ntar kena hack negara nangis nominal uang digonta ganti sama hacker, hacker bisa beli barang apa aja ga pake bayar cuman ganti angka aja wkwkwk",Negatif,Negatif,Negatif,Negatif,Netral,Netral,0,-6,4,-6,0.6,2,0,risk_question,Keamanan data dan kontrol,True,8,komentar ambigu; isu uang tunai; pola negatif terdeteksi,Tidak berubah,Tidak berubah,,1,2026-05-16 10:11:40.935398
R00012,12,YLq9NVWk23U,2022-11-30 07:01:17,@weryupo896,"bikin aja dulu aja pusat data!! pusat data aja gak punya...  jangan gaya"" sok paling digital ... inget Bjorka... hahahah",bikin aja dulu aja pusat data!! pusat data aja gak punya... jangan gaya sok paling digital ... inget Bjorka... hahahah,bikin aja dulu aja pusat data!! pusat data aja gak punya... jangan gaya sok paling digital ... inget bjorka... hahahah,Netral,Negatif,Negatif,Negatif,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Keamanan data dan kontrol,True,13,confidence rendah; netral dengan sinyal; isu uang tunai; label berubah dari raw; pola negatif terdeteksi,Netral/Positif → Negatif (pola konteks negatif),Tidak berubah,,6,2026-05-16 10:11:40.935397
R00013,13,YLq9NVWk23U,2022-11-30 07:32:37,@baharrisqi104,Pak klu boleh cepat mata uang Indonesia di rubah nol nya terlalu banyak pak mata uang Indonesia di anggap paling kecil sama negara lain pak redominasi udh di tunggu oleh rakyat pak,Pak klu boleh cepat mata uang Indonesia di rubah nol nya terlalu banyak pak mata uang Indonesia di anggap paling kecil sama negara lain pak redominasi udh di tunggu oleh rakyat pak,pak klu boleh cepat mata uang indonesia di rubah nol nya terlalu banyak pak mata uang indonesia di anggap paling kecil sama negara lain pak redominasi udh di tunggu oleh rakyat pak,Positif,Positif,Positif,Positif,,Positif,1,0,0,1,1.0,0,1,not_ambiguous,Tidak teridentifikasi,False,0,sampel tambahan,Tidak berubah,Tidak berubah,,5,2026-05-16 10:11:40.935395
R00014,15,YLq9NVWk23U,2022-11-30 08:02:52,@hidayatjbr9016,"Pokok Boikot Dollar,, Gunakan Mata uang Sendiri untuk transaksi Dalam negeri, dan gunakan Bitcoin Emas untuk transaksi Luar Negri","Pokok Boikot Dollar,, Gunakan Mata uang Sendiri untuk transaksi Dalam negeri, dan gunakan Bitcoin Emas untuk transaksi Luar Negri","pokok boikot dollar,, gunakan mata uang sendiri untuk transaksi dalam negeri, dan gunakan bitcoin emas untuk transaksi luar negri",Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,6,2026-05-16 10:11:39.628614
R00015,17,YLq9NVWk23U,2022-11-30 09:14:27,@ronomedjo4759,Apakah pake xrp sbg tulang punggungnya? 🤓,Apakah pake xrp sbg tulang punggungnya?,apakah pake xrp sbg tulang punggungnya?,Netral,Netral,Netral,Netral,Netral,Netral,0,0,1,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,0,2026-05-16 10:11:39.628610
R00016,18,YLq9NVWk23U,2022-11-30 09:35:12,@candrawiguna,"GPN, QRIS, BIFast, Rupiah Digital..
BI dan Kementerian Keuangan emang paling terdepan beradaptasi dengan teknologi.

Jauh banget dibanding kementerian sebelah yang bawa2 nama teknologi informasi tapi orang2nya gaptek dan gak ngasilin apapun, cuma sibuk blokir situs bokep.","GPN, QRIS, BIFast, Rupiah Digital.. BI dan Kementerian Keuangan emang paling terdepan beradaptasi dengan teknologi. Jauh banget dibanding kementerian sebelah yang bawa2 nama teknologi informasi tapi orang2nya gaptek dan gak ngasilin apapun, cuma sibuk blokir situs bokep.","gpn, qris, bifast, rupiah digital.. bi dan kementerian keuangan emang paling terdepan beradaptasi dengan teknologi. jauh banget dibanding kementerian sebelah yang bawa2 nama teknologi informasi tapi orang2nya gaptek dan gak ngasilin apapun, cuma sibuk blokir situs bokep.",Negatif,Negatif,Negatif,Negatif,,Negatif,0,-4,0,-4,1.0,1,0,not_ambiguous,Tidak teridentifikasi,False,2,pola negatif terdeteksi,Tidak berubah,Tidak berubah,,15,2026-05-16 10:11:39.628606
R00017,19,YLq9NVWk23U,2022-11-30 09:43:21,@doraKitty23,"Digital rupiah pake teknologi blockchain ? Di china ud uji coba sukses, kl indonesia bs seJakarta-surabaya pake aja ud hebatt","Digital rupiah pake teknologi blockchain ? Di china ud uji coba sukses, kl indonesia bs seJakarta surabaya pake aja ud hebatt","digital rupiah pake teknologi blockchain ? di china ud uji coba sukses, kl indonesia bs sejakarta surabaya pake aja ud hebatt",Netral,Netral,Netral,Netral,Netral,Netral,0,0,0,0,0.0,0,0,not_ambiguous,Tidak teridentifikasi,True,2,confidence rendah,Tidak berubah,Tidak berubah,,0,2026-05-16 10:11:39.628605
R00018,21,YLq9NVWk23U,2022-11-30 14:13:01,@dirinputra3711,"Keamanan data dulu bos 🤣,baru E Rp ,masa data bocor terus,kalau meniru cara China emang bagus sih,tapi bedanya data warga China benar-benar dijaga pemerintah,ini data bocor dimana-mana.","Keamanan data dulu bos ,baru E Rp ,masa data bocor terus,kalau meniru cara China emang bagus sih,tapi bedanya data warga China benar benar dijaga pemerintah,ini data bocor dimana mana.","keamanan data dulu bos ,baru e rp ,masa data bocor terus,kalau meniru cara china emang bagus sih,tapi bedanya data warga china benar benar dijaga pemerintah,ini data bocor dimana mana.",Negatif,Negatif,Negatif,Negatif,Negatif,Negatif,1,-7,3,-6,0.5455,0,1,risk_question,Keamanan data dan kontrol,True,10,confidence rendah; komentar ambigu; isu uang tunai; pola negatif terdeteksi,Tidak berubah,Tidak berubah,,5,2026-05-16 10:11:39.628605
