row_id,VideoID,CommentDate,UserName,Comment,clean_comment,final_label,cash_response_category
R01610,SxMdI5sabb0,2023-01-30 02:49:28,@NgomonginUang,"Aminn 😇
Tapi juga ada masih ke khawatiran sih disana sini 😶",Aminn Tapi juga ada masih ke khawatiran sih disana sini,Netral,Tidak teridentifikasi
R04807,gU62EuPDWaY,2026-05-08 09:47:19,@conmanon,Dan servernya di singapore di samping Sirekab operatornya bjorka 😂,Dan servernya di singapore di samping Sirekab operatornya bjorka,Netral,Keamanan data dan kontrol
R04122,KqjkU_AQCJE,2026-01-17 02:31:10,@cintakasih312,"isi dari video ini hanya informasi permukaan saja , tidak mendalam sesuai geopolitik dan ekonomi tiap negara","isi dari video ini hanya informasi permukaan saja , tidak mendalam sesuai geopolitik dan ekonomi tiap negara",Netral,Tidak teridentifikasi
R04062,KqjkU_AQCJE,2026-01-16 14:20:09,@BudiHalim-oj7bg,Di Prancis susah cari toilet umum kalo di Konoha bisa numpang di Indomaret dan Alfamart...😅,Di Prancis susah cari toilet umum kalo di Konoha bisa numpang di Indomaret dan Alfamart...,Negatif,Tidak teridentifikasi
R02839,PMuEX5Qbmzo,2024-08-13 12:19:46,@ronomedjo,"Bro siap2 channel idola lo timothy udah kena gulung, bikin channel cadangan buat ngamanin konten2 pinggir jurang 😁😁","Bro siap2 channel idola lo timothy udah kena gulung, bikin channel cadangan buat ngamanin konten2 pinggir jurang",Netral,Tidak teridentifikasi
R05010,gU62EuPDWaY,2026-05-08 16:58:09,@muliatimuli5602,Di masa dpn tdk ada lg yg namanya uang fisik apa lg uang digital yg ada hanya emas & perak sbgai alat tukar yg sah...🤭🤭🤭,Di masa dpn tdk ada lg yg namanya uang fisik apa lg uang digital yg ada hanya emas perak sbgai alat tukar yg sah...,Netral,Tidak teridentifikasi
R01408,SxMdI5sabb0,2023-01-29 09:15:19,@pororo3d,nah ini poinnya.. selama ini kita tergantung sama BANK yang merupakan produk kapitalisme..  dimana si Pemegang uang tak punya kendali sama uangnya mereka sendiri..  hanya dikasih bunga ala kadarnya.. kalau bank untung gede..kita sama sekali ga dikasih dividen.. Gw Setuju dimasa depan ga perlu bank..masing2 punya dompet digital masing2,nah ini poinnya.. selama ini kita tergantung sama BANK yang merupakan produk kapitalisme.. dimana si Pemegang uang tak punya kendali sama uangnya mereka sendiri.. hanya dikasih bunga ala kadarnya.. kalau bank untung gede..kita sama sekali ga dikasih dividen.. Gw Setuju dimasa depan ga perlu bank..masing2 punya dompet digital masing2,Positif,Tidak teridentifikasi
R00967,bEY5w3D9Zto,2022-12-22 15:39:51,@mangzlusar1577,@apajachan itu dia bro....lha wong dari dlu digital ini dah dr dlu kita praktikkan ...kcuali angka Rp 1.000 mnjadi Rp.1 baru itu perubahan yg keren (Redenominasi),itu dia bro....lha wong dari dlu digital ini dah dr dlu kita praktikkan ...kcuali angka Rp 1.000 mnjadi Rp.1 baru itu perubahan yg keren Redenominasi,Positif,Tidak teridentifikasi
R02752,ebkamQER1nM,2024-08-11 02:39:03,@Hermandrokhim77,Jangan teralu banyak aplikasi elektronok,Jangan teralu banyak aplikasi elektronok,Netral,Tidak teridentifikasi
R04776,gU62EuPDWaY,2026-05-08 09:11:25,@d2nd21st,kalo pejabat yg punya sistem atau jadi admin nya malah kebalik wkwkwkwk,kalo pejabat yg punya sistem atau jadi admin nya malah kebalik wkwkwkwk,Netral,Tidak teridentifikasi
R01555,SxMdI5sabb0,2023-01-30 01:45:53,@NgomonginUang,"Tetep butuh proses sih, toh rupiah digital ini pun skemanya sebagai alat pelengkap dari alternatif pembayaran yang udah ada 😊","Tetep butuh proses sih, toh rupiah digital ini pun skemanya sebagai alat pelengkap dari alternatif pembayaran yang udah ada",Netral,Tidak teridentifikasi
R04697,gU62EuPDWaY,2026-05-08 07:36:00,@BandaAceh-z4w,Mending kayak zaman batu lagi. 😂,Mending kayak zaman batu lagi.,Netral,Tidak teridentifikasi
R03084,PMuEX5Qbmzo,2024-08-13 22:05:55,@hardiantorahmatullah4405,"Indonesia sudah bang, tapi mirip-mirip. Yaitu BI Cheking cara kerja kaya sosial kredit di china, rekam jejak perbankan tiap orang ada disitu semua, bahkan skrg mau lamaran kerja aja harus BI cheking dulu","Indonesia sudah bang, tapi mirip mirip. Yaitu BI Cheking cara kerja kaya sosial kredit di china, rekam jejak perbankan tiap orang ada disitu semua, bahkan skrg mau lamaran kerja aja harus BI cheking dulu",Netral,Tidak teridentifikasi
R00023,YLq9NVWk23U,2022-11-30 22:51:33,@danusyahidulhaq71,"Otw kalau bencana atau listrik mati digital rupiah tidak berfungsi, semoga yg mendapat musibah itu para pejabat biar dia merasakan","Otw kalau bencana atau listrik mati digital rupiah tidak berfungsi, semoga yg mendapat musibah itu para pejabat biar dia merasakan",Negatif,Akses teknologi dan infrastruktur
R01031,Bn_MTSqW3bE,2022-12-23 23:34:24,@hestyumaryani8405,"Digital lebih enak, gk repot cari kembalian,,cuma klo belanja masih ada biaya admin, ya rugi, dan lgi harus semua orang pakai internet,","Digital lebih enak, gk repot cari kembalian,,cuma klo belanja masih ada biaya admin, ya rugi, dan lgi harus semua orang pakai internet,",Negatif,Tidak teridentifikasi
R00400,CQr5wbSc-TI,2022-12-06 07:54:25,@sheptian69,"@ningen9129 sama aja perpindahan cuma patokan nilai tetap di jumlah emas negara nya, nah indo ini belum jelas main nya kalau ikut emas nya itu rupiah bisa bubar nilai nya karena negara semau cetak aja n biasa ajang celah korup ini.","sama aja perpindahan cuma patokan nilai tetap di jumlah emas negara nya, nah indo ini belum jelas main nya kalau ikut emas nya itu rupiah bisa bubar nilai nya karena negara semau cetak aja n biasa ajang celah korup ini.",Negatif,Kepercayaan terhadap regulator
R00273,bEY5w3D9Zto,2022-12-05 16:36:25,@ocit1237,Klo pake uang digital spt mgkin rupiah tdk trlalu bergantung sama dolar amerika.tu di lakukan oleh cina jga pke uang digital.jadinya uang kertas gak berlaku di sbgian wilayah cina,Klo pake uang digital spt mgkin rupiah tdk trlalu bergantung sama dolar amerika.tu di lakukan oleh cina jga pke uang digital.jadinya uang kertas gak berlaku di sbgian wilayah cina,Netral,Tidak teridentifikasi
R03884,mODGGIy9JZE,2025-11-03 03:48:58,@askhaaryanto6646,Amat sangat setuju.Dan klo bisa semua gaji para ASN di lewatkn dri alat ini sja.,Amat sangat setuju.Dan klo bisa semua gaji para ASN di lewatkn dri alat ini sja.,Positif,Tidak teridentifikasi
R00238,wMPGW76Iy9A,2022-12-05 13:42:05,@i.am_diksa872,Nah ni yang saya pikirin juga,Nah ni yang saya pikirin juga,Netral,Tidak teridentifikasi
R03837,mODGGIy9JZE,2025-11-02 09:57:58,@Milenial12,"Ngeri dimaling guamah gak megang fisik
Yg udh geh udh Tabungan BRI raib semua punya gua",Ngeri dimaling guamah gak megang fisik Yg udh geh udh Tabungan BRI raib semua punya gua,Negatif,Tidak teridentifikasi
R05027,gU62EuPDWaY,2026-05-08 19:05:41,@KusumaAngga-r1k,"Kapitalis akan runtuh.
Sosialis akan tumbuh",Kapitalis akan runtuh. Sosialis akan tumbuh,Netral,Tidak teridentifikasi
R02798,ebkamQER1nM,2024-08-12 10:01:03,@anggayohannes8038,Stablecoin versi negara bro,Stablecoin versi negara bro,Netral,Tidak teridentifikasi
R00518,rr5b9JQ7qPs,2022-12-08 14:15:00,@lofilogincofin,Pajaknya gimana tuh buat kirim duit pajaknya,Pajaknya gimana tuh buat kirim duit pajaknya,Netral,Tidak teridentifikasi
R01997,SxMdI5sabb0,2023-02-11 01:47:07,@NgomonginUang,Menarik 👍 Terima kasih sharing opini nya ya 😎,Menarik Terima kasih sharing opini nya ya,Netral,Tidak teridentifikasi
R02334,SxMdI5sabb0,2023-12-18 22:17:30,@ytspektrum2533,Yang paling aman hanya pi network dan bitcoin selain itu bisa di HACK semua nya,Yang paling aman hanya pi network dan bitcoin selain itu bisa di HACK semua nya,Negatif,Keamanan data dan kontrol
R01163,Bn_MTSqW3bE,2022-12-30 01:50:59,@kadal.makmur,Kok malah lawak ya.... Hahaha...,Kok malah lawak ya.... Hahaha...,Netral,Tidak teridentifikasi
